,Peers,Miners,Contracts,Transactions,Time,Difficulty
0,6,1,500,100,0.7815036773681641,1
1,6,1,500,100,1.2133033275604248,1
2,6,1,500,100,1.225334644317627,1
3,6,1,500,100,1.3158349990844727,1
4,6,1,500,100,1.325566291809082,1
0,6,2,500,100,0.7551791667938232,1
1,6,2,500,100,0.80837082862854,1
2,6,2,500,100,1.171569585800171,1
3,6,2,500,100,1.3019485473632812,1
4,6,2,500,100,1.3521769046783447,1
0,6,3,500,100,0.7739603519439697,1
1,6,3,500,100,0.7911477088928223,1
2,6,3,500,100,0.7969305515289307,1
3,6,3,500,100,1.373532772064209,1
4,6,3,500,100,1.3833885192871094,1
0,6,4,500,100,0.8208115100860596,1
1,6,4,500,100,0.8509657382965088,1
2,6,4,500,100,0.8699662685394287,1
3,6,4,500,100,0.9064273834228516,1
4,6,4,500,100,0.967724084854126,1
0,6,5,500,100,0.7969818115234375,1
1,6,5,500,100,0.8084869384765625,1
2,6,5,500,100,0.8421857357025146,1
3,6,5,500,100,0.8856203556060791,1
4,6,5,500,100,0.8641345500946045,1
0,6,6,500,100,0.816643238067627,1
1,6,6,500,100,0.8697957992553711,1
2,6,6,500,100,0.8975143432617188,1
3,6,6,500,100,0.8975143432617188,1
4,6,6,500,100,1.0703296661376953,1
0,6,1,1000,100,1.1831717491149902,1
1,6,1,1000,100,1.757706880569458,1
2,6,1,1000,100,1.7657341957092285,1
3,6,1,1000,100,1.8693785667419434,1
4,6,1,1000,100,1.9778451919555664,1
0,6,2,1000,100,1.3719074726104736,1
1,6,2,1000,100,1.960862398147583,1
2,6,2,1000,100,2.0292630195617676,1
3,6,2,1000,100,2.071913719177246,1
4,6,2,1000,100,2.123565673828125,1
0,6,3,1000,100,1.2028589248657227,1
1,6,3,1000,100,1.221092939376831,1
2,6,3,1000,100,1.3053951263427734,1
3,6,3,1000,100,1.8039603233337402,1
4,6,3,1000,100,1.9731082916259766,1
0,6,1,500,100,0.750706672668457,1
1,6,1,500,100,1.1939399242401123,1
2,6,1,500,100,1.1939399242401123,1
3,6,1,500,100,1.2053256034851074,1
4,6,1,500,100,1.2083239555358887,1
0,6,2,500,100,0.7988686561584473,1
1,6,2,500,100,0.907285213470459,1
2,6,2,500,100,1.248908519744873,1
3,6,2,500,100,1.3529078960418701,1
4,6,2,500,100,1.400836706161499,1
0,6,3,500,100,0.8004117012023926,1
1,6,3,500,100,0.8536508083343506,1
2,6,3,500,100,0.8222641944885254,1
3,6,3,500,100,1.2990822792053223,1
4,6,3,500,100,1.4427685737609863,1
0,6,4,500,100,0.8600084781646729,1
1,6,4,500,100,0.8870091438293457,1
2,6,4,500,100,0.8640079498291016,1
3,6,4,500,100,0.8890097141265869,1
4,6,4,500,100,0.8880078792572021,1
0,6,5,500,100,0.8212602138519287,1
1,6,5,500,100,0.849999189376831,1
2,6,5,500,100,0.8510010242462158,1
3,6,5,500,100,0.8839972019195557,1
4,6,5,500,100,0.8959975242614746,1
0,6,6,500,100,0.8169374465942383,1
1,6,6,500,100,0.8548030853271484,1
2,6,6,500,100,0.8568017482757568,1
3,6,6,500,100,0.8788015842437744,1
4,6,6,500,100,0.8918018341064453,1
